Slot,Match,Time,Game,Team 1,Team 2,Winner
1,A,1:00 PM,Valorant,Hide on Smoke,sALt,
1,B,1:00 PM,Valorant,Cooked,Flip 4 It,
2,A,2:00 PM,Valorant,sALt,Cooked,
2,B,2:00 PM,Valorant,Flip 4 It,Hide on Smoke,
3,A,3:00 PM,Valorant,Flip 4 It,sALt,
3,B,3:00 PM,Valorant,Hide on Smoke,Cooked,
4,A,4:00 PM,TFT,Flip 4 It,Hide on Smoke,
4,B,4:00 PM,TFT,sALt,Cooked,
5,A,5:00 PM,TFT,Flip 4 It,sALt,
5,B,5:00 PM,TFT,Hide on Smoke,Cooked,
6,A,6:00 PM,TFT,Hide on Smoke,sALt,
6,B,6:00 PM,TFT,Flip 4 It,Cooked,
7,A,7:30 PM,League,Flip 4 It,Hide on Smoke,
7,B,7:30 PM,League,sALt,Cooked,
8,A,8:30 PM,League,sALt,Flip 4 It,
8,B,8:30 PM,League,Cooked,Hide on Smoke,
9,A,9:30 PM,League,Hide on Smoke,sALt,
9,B,9:30 PM,League,Flip 4 It,Cooked,
